,Directed by,Produced by,Music by,Cinematography,Distributed by,Year,imdb rating(over 10),rotten tomato rating(over 10),metacritic rating(over 100),Box office (billion $$),Universe
Iron Man,Jon Favreau,"['Avi Arad', 'Kevin Feige']",Ramin Djawadi,Matthew Libatique,Paramount Pictures,2008,7.9,7.71,79,0.5852999999999999,Marvel
The Incredible Hulk,Louis Leterrier,"['Avi Arad', 'Gale Anne Hurd', 'Kevin Feige']",Craig Armstrong,Peter Menzies Jr.,Universal Pictures,2008,6.7,6.2,61,0.26480000000000004,Marvel
Iron Man 2,Jon Favreau,Kevin Feige,John Debney,Matthew Libatique,Paramount Pictures,2010,7.0,6.5,57,0.6239,Marvel
Thor,Kenneth Branagh,Kevin Feige,Patrick Doyle,Haris Zambarloukos,Paramount Pictures,2011,7.0,6.71,57,0.44930000000000003,Marvel
Captain America: The First Avenger,Joe Johnston,Kevin Feige,Alan Silvestri,Shelly Johnson,Paramount Pictures,2011,6.9,6.97,66,0.37060000000000004,Marvel
Marvel's The Avengers,Joss Whedon,Kevin Feige,Alan Silvestri,Seamus McGarvey,Walt Disney Studios Motion Pictures,2012,8.0,8.0,69,1.519,Marvel
Iron Man 3,Shane Black,Kevin Feige,Brian Tyler,John Toll,Walt Disney Studios Motion Pictures,2013,7.1,7.0,62,1.215,Marvel
Thor: The Dark World,Alan Taylor,Kevin Feige,Brian Tyler,Kramer Morgenthau,Walt Disney Studios Motion Pictures,2013,6.9,6.22,54,0.6447999999999999,Marvel
Captain America: The Winter Soldier,"['Anthony Russo', 'Joe Russo']",Kevin Feige,Henry Jackman,Trent Opaloch,Walt Disney Studios Motion Pictures,2014,7.7,7.64,70,0.7143999999999999,Marvel
Guardians of the Galaxy,James Gunn,Kevin Feige,Tyler Bates,Ben Davis,Walt Disney Studios Motion Pictures,2014,8.0,7.82,76,0.7727999999999999,Marvel
Avengers: Age of Ultron,Joss Whedon,Kevin Feige,"['Brian Tyler', 'Danny Elfman']",Ben Davis,Walt Disney Studios Motion Pictures,2015,7.3,6.8,66,1.403,Marvel
Ant-Man,Peyton Reed,Kevin Feige,Christophe Beck,Russell Carpenter,Walt Disney Studios Motion Pictures,2015,7.3,6.9,64,0.5193,Marvel
Captain America: Civil War,"['Anthony Russo', 'Joe Russo']",Kevin Feige,Henry Jackman,Trent Opaloch,Walt Disney Studios Motion Pictures,2016,7.8,7.7,75,1.153,Marvel
Doctor Strange,Scott Derrickson,Kevin Feige,Michael Giacchino,Ben Davis,Walt Disney Studios Motion Pictures,2016,7.5,7.29,72,0.6777000000000001,Marvel
Guardians of the Galaxy Vol. 2,James Gunn,Kevin Feige,Tyler Bates,Henry Braham,Walt Disney Studios Motion Pictures,2017,7.6,7.3,67,0.8637999999999999,Marvel
Spider-Man: Homecoming,Jon Watts,"['Kevin Feige', 'Amy Pascal']",Michael Giacchino,Salvatore Totino,Sony Pictures Releasing,2017,7.4,7.7,73,0.8802000000000001,Marvel
Thor: Ragnarok,Taika Waititi,Kevin Feige,Mark Mothersbaugh,Javier Aguirresarobe,Walt Disney Studios Motion Pictures,2017,7.9,7.6,74,0.854,Marvel
Black Panther,Ryan Coogler,Kevin Feige,Ludwig G̦ransson,Rachel Morrison,Walt Disney Studios Motion Pictures,2018,7.3,8.3,88,1.347,Marvel
Avengers: Infinity War,"['Anthony Russo', 'Joe Russo']",Kevin Feige,Alan Silvestri,Trent Opaloch,Walt Disney Studios Motion Pictures,2018,8.4,7.6,68,2.048,Marvel
Ant-Man and the Wasp,Peyton Reed,"['Kevin Feige', 'Stephen Broussard']",Christophe Beck,Dante Spinotti,Walt Disney Studios Motion Pictures,2018,7.1,7.0,70,0.6227,Marvel
Captain Marvel,Anna BodenRyan Fleck,Kevin Feige,Pinar Toprak,Ben Davis,Walt Disney Studios Motion Pictures,2019,6.9,6.8,64,1.128,Marvel
Avengers: Endgame,"['Anthony Russo', 'Joe Russo']",Kevin Feige,Alan Silvestri,Trent Opaloch,Walt Disney Studios Motion Pictures,2019,8.4,8.2,78,2.798,Marvel
Spider-Man: Far From Home,Jon Watts,"['Kevin Feige', 'Amy Pascal']",Michael Giacchino,Matthew J. Lloyd,Sony Pictures Releasing,2019,7.5,7.4,69,1.132,Marvel
